AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
1079201,10792,BUF,Greater Buffalo International,"Buffalo, NY",22,United States,US,New York,NY,36.0,30792,"Buffalo, NY",22,42.0,N,56.0,28.0,42.94111111,78.0,W,44.0,11.0,-78.73638889,1/1/1950 12:00:00 AM,8/31/1983 12:00:00 AM,0,0
1079601,10796,BUM,Butler Memorial,"Butler, MO",64,United States,US,Missouri,MO,29.0,30796,"Butler, MO",64,38.0,N,17.0,23.0,38.28972222,94.0,W,20.0,24.0,-94.34,7/1/2009 12:00:00 AM,2/29/2012 12:00:00 AM,0,0
1080001,10800,BUR,Hollywood-Burbank Midpoint,"Burbank, CA",91,United States,US,California,CA,6.0,32575,"Los Angeles, CA (Metropolitan Area)",91,34.0,N,12.0,0.0,34.2,118.0,W,21.0,28.0,-118.35777778,1/1/1950 12:00:00 AM,11/30/2002 12:00:00 AM,0,0
1080901,10809,BVD,Beaver Inlet Seaport,"Beaver Inlet, AK",1,United States,US,Alaska,AK,2.0,30809,"Beaver Inlet, AK",1,53.0,N,49.0,57.0,53.8325,166.0,W,18.0,9.0,-166.3025,3/1/1990 12:00:00 AM,,0,1
1081101,10811,BVO,Frank Phillips,"Bartlesville, OK",73,United States,US,Oklahoma,OK,40.0,30811,"Bartlesville, OK",73,36.0,N,45.0,45.0,36.7625,96.0,W,0.0,39.0,-96.01083333,1/1/1950 12:00:00 AM,5/31/1979 12:00:00 AM,0,0
1081201,10812,BVR,Beaver Island,"St. James, MI",43,United States,US,Michigan,MI,26.0,30812,"St. James, MI",43,45.0,N,41.0,37.0,45.69361111,85.0,W,33.0,57.0,-85.56583333,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1081401,10814,BVX,Batesville Regional,"Batesville, AR",71,United States,US,Arkansas,AR,5.0,30814,"Batesville, AR",71,35.0,N,43.0,34.0,35.72611111,91.0,W,38.0,51.0,-91.6475,1/1/1950 12:00:00 AM,,0,1
1081501,10815,BVY,Beverly Municipal,"Beverly, MA",13,United States,US,Massachusetts,MA,25.0,30815,"Beverly, MA",13,42.0,N,35.0,0.0,42.58333333,70.0,W,54.0,56.0,-70.91555556,3/1/1976 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1081701,10817,BWD,Brownwood Regional,"Brownwood, TX",74,United States,US,Texas,TX,48.0,30817,"Brownwood, TX",74,31.0,N,47.0,41.0,31.79472222,98.0,W,57.0,24.0,-98.95666667,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1081901,10819,BWG,Bowling Green-Warren County Regional,"Bowling Green, KY",52,United States,US,Kentucky,KY,21.0,30819,"Bowling Green, KY",52,36.0,N,57.0,44.0,36.96222222,86.0,W,25.0,20.0,-86.42222222,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
